defendants,original values,cases
"MASON CONTRACT PRODUCTS, LLC","MASON CONTRACT PRODUCTS, LLC",1.0
"MASTEC NORTH AMERICA, INC.","MASTEC NORTH AMERICA, INC.",1.0
MASTEC SERVICES COMPANY INC,MASTEC SERVICES COMPANY INC,1.0
MASTEC SERVICES COMPANY INC,MASTEC SERVICES COMPANY INC ET AL,1.0
"MASTEC, INC.","MASTEC, INC.",1.0
"MASTEC, INC.","MASTEC, INC. ET AL",2.0
MATT TAUBER,MATT TAUBER ET AL,1.0
MBNA AMERICA BANK,MBNA AMERICA BANK,1.0
MBNA AMERICA BANK,MBNA AMERICA BANK NA,1.0
MBR MANAGEMENT CORPORATION,MBR MANAGEMENT CORPORATION,1.0
"MCGUYER HOMEBUILDERS, INC.","MCGUYER HOMEBUILDERS, INC. ET AL",1.0
Medical Capital Securities,Medical Capital Securities,1.0
"MEDITERRANEAN SHIPPING COMPANY, S.A.","MEDITERRANEAN SHIPPING COMPANY, S.A. ET AL",1.0
"MENARD, INC.","MENARD, INC.",2.0
"MENARD, INC.","MENARD, INC. ET AL",1.0
MERACORD LLC,MERACORD LLC ET AL,1.0
MERCEDES BENZ USA LLC,MERCEDES BENZ USA LLC ET AL,1.0
"MERCEDES-BENZ FINANCIAL SERVICES, LLC","MERCEDES-BENZ FINANCIAL SERVICES, LLC",1.0
"MERCHANT SERVICES, INC.","MERCHANT SERVICES, INC. ET AL",1.0
"MERRILL LYNCH & CO., INC.","MERRILL LYNCH & CO., INC. ET AL",1.0
"METRON SERVICES, INC","METRON SERVICES, INC ET AL",1.0
"METROPCS COMMUNICATIONS, INC.","METROPCS COMMUNICATIONS, INC.",1.0
METROPCS WIRELESS INC,METROPCS WIRELESS INC ET AL,1.0
MFK LLC,MFK LLC ET AL,1.0
MHI PARTNERSHIP LTD,MHI PARTNERSHIP LTD ET AL,1.0
"MHN GOVERNMENT SERVICES, INC.","MHN GOVERNMENT SERVICES, INC. ET AL",1.0
MICROSOFT CORPORATION,MICROSOFT CORPORATION,1.0
MICROSOFT CORPORATION,MICROSOFT CORPORATION ET AL,1.0
"MID-AMERICA WAFFLES, INC.","MID-AMERICA WAFFLES, INC. ET AL",1.0
MIDCOUNTRY BANK,MIDCOUNTRY BANK,1.0
MIDLAND CREDIT MANAGEMENT INC,MIDLAND CREDIT MANAGEMENT ET AL,1.0
MIDLAND CREDIT MANAGEMENT INC,MIDLAND CREDIT MANAGEMENT INC ET AL,1.0
MIDLAND CREDIT MANAGEMENT INC,"MIDLAND CREDIT MANAGEMENT, INC.",2.0
MIDLAND CREDIT MANAGEMENT INC,"MIDLAND CREDIT MANAGEMENT, INC. ET AL",5.0
MIDLAND FUNDING LLC,MIDLAND FUNDING LLC,3.0
MIDLAND FUNDING LLC,MIDLAND FUNDING LLC ET AL,1.0
MIDLAND FUNDING LLC,"MIDLAND FUNDING, L.L.C. ET AL",1.0
MIDLAND FUNDING LLC,"MIDLAND FUNDING, LLC",2.0
MIDLAND FUNDING LLC,"MIDLAND FUNDING, LLC ET AL",3.0
"MILLENNIUM TRUST COMPANY, LLC","MILLENNIUM TRUST COMPANY, LLC",1.0
"MILNER DISTRIBUTION ALLIANCE, INC.","MILNER DISTRIBUTION ALLIANCE, INC.",1.0
"MILO’S KITCHEN, LLC","MILO’S KITCHEN, LLC ET AL",1.0
MINNESOTA LIFE INSURANCE COMPANY,MINNESOTA LIFE INSURANCE COMPANY ET AL,1.0
"MMR GROUP, INC.","MMR GROUP, INC. ET AL",1.0
"MOL AMERICA, INC.","MOL AMERICA, INC. ET AL",1.0
MONEY TREE INC,MONEY TREE INC ET AL,1.0
"MORAN FOODS, INC.","MORAN FOODS, INC.",1.0
"MORGAN DREXEN, INC.","MORGAN DREXEN, INC. ET AL",1.0
MORTGAGE INVST CORP,MORTGAGE INVST CORP,1.0
"MORTON’S RESTAURANT GROUP, INC.","MORTON’S RESTAURANT GROUP, INC.",1.0
"MORTON’S RESTAURANT GROUP, INC.","MORTON’S RESTAURANT GROUP, INC.,",1.0
"MRS ASSOCIATES, INC.","MRS ASSOCIATES, INC.",1.0
"MULTI-PURPOSE CIVIC CENTER FACILITIES BOARD FOR PULASKI COUNTY, ARKANSAS","MULTI-PURPOSE CIVIC CENTER FACILITIES BOARD FOR PULASKI COUNTY, ARKANSAS ET AL",1.0
"MURPHY OIL USA, INC.","MURPHY OIL USA, INC.",1.0
"NABORS DRILLING USA, LP","NABORS DRILLING USA, LP ET AL",1.0
"NANAK’S LANDSCAPING, INC.","NANAK’S LANDSCAPING, ET AL",1.0
"NANAK’S LANDSCAPING, INC.","NANAK’S LANDSCAPING, INC. ET AL",1.0
"NATIONAL BANK OF CALIFORNIA, N.A.","NATIONAL BANK OF CALIFORNIA, N.A.",1.0
"NATIONAL CITY MORTGAGE, INC.","NATIONAL CITY MORTGAGE, INC.",1.0
"NATIONAL CREDIT ADJUSTERS, LLC","NATIONAL CREDIT ADJUSTERS, LLC",1.0
NATIONAL HOCKEY LEAGUE,NATIONAL HOCKEY LEAGUE ET AL,2.0
"NATIONAL HOME PROTECTION, INC.","NATIONAL HOME PROTECTION, INC.",1.0
NATIONAL PENN BANK,NATIONAL PENN BANK ET AL,1.0
"NATIONWIDE CREDIT, INC.","NATIONWIDE CREDIT, INC. ET AL",2.0
"NATURES SUNSHINE,","NATURES SUNSHINE, ET AL",1.0
Navistar,Navistar,1.0
"NBC UNIVERSAL, INC.","NBC UNIVERSAL, INC. ET AL",1.0
NBCUNIVERSAL MEDIA LLC,NBCUNIVERSAL MEDIA LLC ET AL,2.0
"NCO FINANCIAL SYSTEMS, INC.","NCO FINANCIAL SYSTEMS, INC. ET AL",1.0
NCR CORPORATION,NCR CORPORATION,4.0
"NEBUAD, INC.","NEBUAD, INC. ET AL",1.0
"NEIGHBORS MOVING SERVICES, INC.","NEIGHBORS MOVING SERVICES, INC.",1.0
NEPHRON PHARMACEUTICALS,NEPHRON PHARMACEUTICALS,1.0
NETBANK,NETBANK,1.0
"NEW CINGULAR WIRELESS PCS, LLC","NEW CINGULAR WIRELESS PCS, LLC ET AL",1.0
NEW CINGULAR WIRELESS SERVICES INC,NEW CINGULAR WIRELESS SERVICES INC ET AL,2.0
NEW DAY FINANCIAL LLC,NEW DAY FINANCIAL LLC ET AL,1.0
NEW EQUITY FINANCIAL CORPORATION,NEW EQUITY FINANCIAL CORPORATION,1.0
"NFL ENTERPRISES, LLC","NFL ENTERPRISES, LLC",1.0
NINTENDO OF AMERICA INC.,NINTENDO OF AMERICA INC.,1.0
"NITRO LIFT TECHNOLOGIES, LLC","NITRO LIFT TECHNOLOGIES, LLC",1.0
"NJG FOOD SERVICE, INC.","NJG FOOD SERVICE, INC. ET AL",1.0
"NNN CAPITAL FUND I, LLC","NNN CAPITAL FUND I, LLC ET AL",1.0
"NOKIA, INC.","NOKIA, INC. ET AL",1.0
NORDSTROM INC,NORDSTROM INC ET AL,2.0
NORDSTROM INC,"NORDSTROM, INC.",5.0
"NORTH AMERICAN ASSET SERVICES, LLC","NORTH AMERICAN ASSET SERVICES, LLC ET AL",1.0
NORTH AMERICAN TITLE LOANS LLC,NORTH AMERICAN TITLE LOANS LLC,1.0
"NORTH STAR CAPITAL ACQUISITION, LLC","NORTH STAR CAPITAL ACQUISITION, LLC ET AL",1.0
NORTHROP GRUMMAN CORPORATION,NORTHROP GRUMMAN CORPORATION ET AL,1.0
NOTEWORLD LLC,NOTEWORLD LLC ET AL,1.0
"NTR METALS, LLC","NTR METALS, LLC",2.0
NVIDIA CORP.,NVIDIA CORP. ET AL,1.0
OAKLEY SALES CORP,OAKLEY SALES CORP ET AL,1.0
"OCHSNER HEALTH SYSTEMS, INC.","OCHSNER HEALTH SYSTEMS, INC. ET AL",1.0
OCWEN FINANCIAL CORPORATION,OCWEN FINANCIAL CORPORATION,1.0
"OCWEN LOAN SERVICING, LLC","OCWEN LOAN SERVICING, LLC",1.0
"OCWEN LOAN SERVICING, LLC","OCWEN LOAN SERVICING, LLC ET AL",1.0
"OFFICE DEPOT, INC.","OFFICE DEPOT, INC.",1.0
"OFFICE OF THE COMMISSIONER OF BASEBALL, MAJOR LEAGUE BASEBALL ENTERPRISES INC","OFFICE OF THE COMMISSIONER OF BASEBALL, MAJOR LEAGUE BASEBALL ENTERPRISES INC ET AL",1.0
"OML ENTERPRISES, INC.","OML ENTERPRISES, INC. ET AL",1.0
OMNI PACKAGING CORPORATION,OMNI PACKAGING CORPORATION,1.0
"ONEMAIN FINANCIAL, INC.","ONEMAIN FINANCIAL, INC.",1.0
Online Travel Company,Online Travel Company,1.0
"OPENMARKET, INC.","OPENMARKET, INC. ET AL",2.0
Optimal Strategic,Optimal Strategic,1.0
OPTION ONE,OPTION ONE,1.0
OPTION ONE MORTGAGE CORPORATION,OPTION ONE MORTGAGE CORPORATION,1.0
ORANGE COUNTY HOMECARE,ORANGE COUNTY HOMECARE ET AL,1.0
"ORKIN EXTEMINATING COMPANY, INC.","ORKIN EXTEMINATING COMPANY, INC. ET AL",1.0
ORKIN SERVICES OF CALIFORNIA INC,ORKIN SERVICES OF CALIFORNIA INC ET AL,1.0
"OVERSEAS ADMINISTRATIVE SERVICES, LTD.","OVERSEAS ADMINISTRATIVE SERVICES, LTD. ET AL",1.0
O’MELVENY & MYERS,O’MELVENY & MYERS,1.0
"P.F. CHANG’S CHINA BISTRO, INC.","P.F. CHANG’S CHINA BISTRO, INC. ET AL",4.0
"PACIFIC BELL LLC,","PACIFIC BELL LLC, ET AL",1.0
"PACIFIC FINANCIAL HOLDINGS, INC","PACIFIC FINANCIAL HOLDINGS, INC ET AL",1.0
PACWEST BANCORP,PACWEST BANCORP,1.0
"PALISADES COLLECTION, LLC","PALISADES COLLECTION, LLC ET AL",1.0
"PALMS OF PASADENA HOSPITAL, LP","PALMS OF PASADENA HOSPITAL, LP ET AL",1.0
"PAPA JOHNS USA INC,","PAPA JOHNS USA INC, ET AL",1.0
"PARADISE CHRISTIAN,","PARADISE CHRISTIAN, ET AL",1.0
"PARK WEST GALLERIES, INC",Park West Galleries,1.0
"PARK WEST GALLERIES, INC","PARK WEST GALLERIES, INC ET AL",1.0
"PARK WEST GALLERIES, INC","PARK WEST GALLERIES, INC. ET AL",2.0
"PARK WEST GALLERIES, INC","PARK WEST GALLERY, INCORPORATED, ET AL",1.0
"PAYDAY FINANCIAL, LLC","PAYDAY FINANCIAL, LLC ET AL",1.0
"PAYDAY LOAN STORES OF ILLINOIS, INC","PAYDAY LOAN STORES OF ILLINOIS, INC",1.0
"PCM CONSTRUCTION SERVICES, LLC","PCM CONSTRUCTION SERVICES, LLC",1.0
"PCM CONSTRUCTION SERVICES, LLC","PCM CONSTRUCTION SERVICES, LLC ET AL",1.0
"PECO FOODS, INC.","PECO FOODS, INC.",1.0
"PEOPLE’S CHOICE HOME LOAN, INC.","PEOPLE’S CHOICE HOME LOAN, INC. ET AL",1.0
"PERSELS & ASSOCIATES, LLC","PERSELS & ASSOCIATES, LLC ET AL",2.0
"PHYSICIANS UNITED PLAN, INC.","PHYSICIANS UNITED PLAN, INC. ET AL",1.0
PIGNERI & LYON INC,PIGNERI & LYON INC,1.0
PIONEER ENERGY SERVICES CORPORATION,PIONEER ENERGY SERVICES CORPORATION,1.0
"PIZZA HUT OF AMERICA, INC.","PIZZA HUT OF AMERICA, INC. ET AL",3.0
"PIZZA HUT, INC.","PIZZA HUT, INC. ET AL",1.0
"PIZZA HUT, INC.","PIZZA HUT, INC., ET AL.",1.0
"PL PHASE ONE OPERATIONS GP, INC.","PL PHASE ONE OPERATIONS GP, INC. ET AL",1.0
PLANTATION OF LOUISIANA L L C,PLANTATION OF LOUISIANA L L C ET AL,1.0
"PLAYPHONE, INC.","PLAYPHONE, INC. ET AL",1.0
"PMKS WICHITA, LLC","PMKS WICHITA, LLC ET AL.",1.0
"POLLO OPERATIONS, INC.","POLLO OPERATIONS, INC.",1.0
POLY-AMERICA MEDICAL AND DENTAL BENEFITS PLAN,POLY-AMERICA MEDICAL AND DENTAL BENEFITS PLAN,1.0
"PORTFOLIO RECOVERY ASSOCIATES, LLC","PORTFOLIO RECOVERY ASSOCIATES, LLC",2.0
"POWER BUYING DEALERS USA, INC.","POWER BUYING DEALERS USA, INC. ET AL",1.0
POWER TOYOTA IRVINE,POWER TOYOTA IRVINE ET AL,1.0
"PRA III, LLC","PRA III, LLC ET AL",1.0
"PRE-PAID LEGAL SERVICES, INC.","PRE-PAID LEGAL SERVICES, INC.",1.0
"PREFERRED FREEZER SERVICES, LBF, LLC","PREFERRED FREEZER SERVICES, LBF, LLC ET AL",1.0
"PREMIER FORD LINCOLN MERCURY, INC.","PREMIER FORD LINCOLN MERCURY, INC. ET AL",1.0
"PRESSLER & PRESSLER, L.L.P.","PRESSLER & PRESSLER, L.L.P. ET AL",1.0
"PRESTIGE FINANCIAL SERVICES, INC.","PRESTIGE FINANCIAL SERVICES, INC.",1.0
PRIMELENDING,PRIMELENDING ET AL,1.0
"PRIMERICA FINANCIAL SERVICES AGENCY OF NEW YORK, INC.","PRIMERICA FINANCIAL SERVICES AGENCY OF NEW YORK, INC. ET AL",1.0
"PRO SE PLANNING, INC.","PRO SE PLANNING, INC.",1.0
PROASSURANCE CORPORATION,PROASSURANCE CORPORATION ET AL,1.0
"PROFESSIONAL STAFFING-A.B.T.S., INC.","PROFESSIONAL STAFFING-A.B.T.S., INC.",1.0
"PROGRESO, LLC,","PROGRESO, LLC, ET AL",1.0
"PROMONTORY FINANCIAL GROUP, LLC","PROMONTORY FINANCIAL GROUP, LLC",1.0
PROSPERITY MORTGAGE COMPANY,PROSPERITY MORTGAGE COMPANY ET AL,1.0
PROSVENT LLC,PROSVENT LLC ET AL,1.0
"PROTECTION ONE ALARM MONITORING, INC.","PROTECTION ONE ALARM MONITORING, INC.",1.0
PROVIDENTIAL BANCORP LTD,PROVIDENTIAL BANCORP LTD,1.0
"PRUDENTIAL FINANCIAL, INC.","PRUDENTIAL FINANCIAL, INC.",1.0
Puerto Rican Cabotage,Puerto Rican Cabotage,1.0
PULTE HOME CORPORATION,PULTE HOME CORPORATION,1.0
"QUEST DIAGNOSTICS, INC.","QUEST DIAGNOSTICS, INC. ET AL",1.0
QUIBIDS LLC,QUIBIDS LLC ET AL,1.0
QUINN,QUINN ET AL,1.0
"QUIXTAR, INC.","QUIXTAR, INC.",1.0
QWEST COMMUNICATIONS INTERNATIONAL INC,QWEST COMMUNICATIONS INTERNATIONAL INC ET AL,1.0
QWEST COMMUNICATIONS INTERNATIONAL INC,QWEST COMMUNICATIONS INTERNATIONAL INC. ET AL,1.0
QWEST CORPORATION,QWEST CORPORATION ET AL,1.0
RALPHS GROCERY COMPANY,RALPHS GROCERY COMPANY ET AL,2.0
"RAME, LLC","RAME, LLC ET AL",1.0
RANDSTAD US,RANDSTAD US ET AL,1.0
"RARE HOSPITALITY MANAGEMENT, INC.","RARE HOSPITALITY MANAGEMENT, INC. ET AL",1.0
RAYMOUR AND FLANIGAN FURNITURE COMPANY,RAYMOUR AND FLANIGAN FURNITURE COMPANY ET AL,1.0
"RAYMOURS FURNITURE COMPANY, INC.","RAYMOURS FURNITURE COMPANY, INC.",1.0
RAZOR CAPITAL LLC,RAZOR CAPITAL LLC,1.0
RBC BANK,RBC BANK,2.0
"RCH CABLE, LLC","RCH CABLE, LLC ET AL",1.0
REDDAM,REDDAM ET AL,1.0
REDFIN CORPORATION,REDFIN CORPORATION,1.0
"REGEIS CARE CENTER, LLC.","REGEIS CARE CENTER, LLC.",1.0
REGIONS BANK,REGIONS BANK,1.0
"REGIONS BANK, INC.","REGIONS BANK, INC.",1.0
REGIONS FINANCIAL CORPORATION,REGIONS FINANCIAL CORPORATION,3.0
REGIONS FINANCIAL CORPORATION,REGIONS FINANCIAL CORPORATION ET AL,1.0
RENASANT BANK,RENASANT BANK,3.0
"RENT-A-CENTER WEST, INC.","RENT-A-CENTER WEST, INC. ET AL",1.0
RESEARCH IN MOTION LTD,RESEARCH IN MOTION LTD,1.0
RESEARCH IN MOTION LTD,"RESEARCH IN MOTION, LTD. ET AL",1.0
"RESTAURANT DEPOT, INC","RESTAURANT DEPOT, INC ET AL",1.0
"RFJD HOLDING CO., INC","RFJD HOLDING CO., INC ET AL",3.0
"RHINO MEDICAL STAFFING, LLC","RHINO MEDICAL STAFFING, LLC ET AL",1.0
RHODES COLLEGE INC,RHODES COLLEGE INC ET AL,1.0
"RICK CASE ENTERPRISES, INC.","RICK CASE ENTERPRISES, INC. ET AL",1.0
"RICK’S CABARET INTERNATIONAL, INC.","RICK’S CABARET INTERNATIONAL, INC. ET AL",1.0
"RMH, LLC","RMH, LLC ET AL",1.0
ROBERT HALF INTERNATIONAL INC.,ROBERT HALF INTERNATIONAL INC. ET AL,1.0
"ROCKWELL COLLINS, INC","ROCKWELL COLLINS, INC ET AL",1.0
ROSS DRESS FOR LESS INC,ROSS DRESS FOR LESS INC ET AL,1.0
"ROYAL BANK OF SCOTLAND GROUP, PLC","ROYAL BANK OF SCOTLAND GROUP, PLC ET AL",1.0
ROYAL CARIBBEAN CRUISE LINES,ROYAL CARIBBEAN CRUISE LINES ET AL,1.0
RSIGHT INC.,RSIGHT INC. ET AL,1.0
RUSH TRUCK CENTERS OF CALIFORNIA INC,RUSH TRUCK CENTERS OF CALIFORNIA INC ET AL,1.0
"RYAN’S FAMILY STEAK HOUSES, INC.","RYAN’S FAMILY STEAK HOUSES, INC. ET AL",1.0
"RYE SELECT BROAD MARKET FUND, LP.","RYE SELECT BROAD MARKET FUND, LP. ET AL",1.0
"SADER POWER, LLC","SADER POWER, LLC ET AL",1.0
SAMANDAROV,SAMANDAROV ET AL,1.0
"SAMMY’S FISHBOX REALTY CO., LLC","SAMMY’S FISHBOX REALTY CO., LLC ET AL",1.0
"SAMSUNG ELECTRONICS AMERICA, INC.","SAMSUNG ELECTRONICS AMERICA, INC. ET AL",1.0
"SAMSUNG ELECTRONICS CO, LTD.","SAMSUNG ELECTRONICS CO, LTD. ET AL",1.0
SAMSUNG TELECOMMUNICATIONS AMERICA LLC,SAMSUNG TELECOMMUNICATIONS AMERICA LLC,3.0
SAMSUNG TELECOMMUNICATIONS AMERICA LLC,SAMSUNG TELECOMMUNICATIONS AMERICA LLC ET AL,3.0
SAMSUNG TELECOMMUNICATIONS AMERICA LLC,"SAMSUNG TELECOMMUNICATIONS AMERICA, LLC",3.0
SAMSUNG TELECOMMUNICATIONS AMERICA LLC,"SAMSUNG TELECOMMUNICATIONS AMERICA, LLC ET AL",1.0
SAN LUIS AMBULANCE SERVICE INC,SAN LUIS AMBULANCE SERVICE INC ET AL,1.0
"SANTA FE NATURAL TOBACCO COMPANY, INC","SANTA FE NATURAL TOBACCO COMPANY, INC ET AL",1.0
SANTANDER CONSUMER USA INC,SANTANDER CONSUMER USA INC ET AL,2.0
SANTANDER CONSUMER USA INC,"SANTANDER CONSUMER USA, INC.",1.0
SANTANDER CONSUMER USA INC,"SANTANDER CONSUMER USA, INC. ET AL",1.0
"SANTIANA MEAT DISTRIBUTORS, INC.","SANTIANA MEAT DISTRIBUTORS, INC. ET AL",1.0
"SATELLITES UNLIMITED, INC.","SATELLITES UNLIMITED, INC.",2.0
SAVARESE,SAVARESE ET AL,1.0
SAWGRASS FORD INC,SAWGRASS FORD INC ET AL,1.0
SCE GROUP INC.,SCE GROUP INC. ET AL,1.0
"SCHELL & KAMPETER, INC.","SCHELL & KAMPETER, INC. ET AL",1.0
SCHULMAN,SCHULMAN ET AL,1.0
"SCI FUNERAL SERVICES OF FLORIDA, INC.","SCI FUNERAL SERVICES OF FLORIDA, INC.",1.0
"SEALIFT INC.,","SEALIFT INC., ET AL",1.0
SEARS HOLDINGS MANAGEMENT CORPORATION,SEARS HOLDINGS MANAGEMENT CORPORATION ET AL,1.0
SEARS ROEBUCK & CO,SEARS ROEBUCK & CO,1.0
"SEARS, ROEBUCK AND CO.","SEARS, ROEBUCK AND CO. ET AL",1.0
SEATTLE PJ PIZZA LLC,SEATTLE PJ PIZZA LLC ET AL,1.0
"SELECT PORTFOLIO SERVICING, INC.","SELECT PORTFOLIO SERVICING, INC. ET AL",1.0
"SERRA CHEVROLET, INC.","SERRA CHEVROLET, INC. ET AL",1.0
SERVICE CORPORATION INTERNATIONAL INC.,SERVICE CORPORATION INTERNATIONAL ET AL,1.0
SERVICE CORPORATION INTERNATIONAL INC.,SERVICE CORPORATION INTERNATIONAL INC. ET AL,1.0
SERVICE ROAD CORP.,SERVICE ROAD CORP. ET AL,1.0
SERVICEMASTER HOLDING CORP.,SERVICEMASTER HOLDING CORP. ET AL,1.0
SFPC HOLDING COMPANY LLC,SFPC HOLDING COMPANY LLC ET AL,1.0
"SHARP DEAL AUTO REPAIR, INC.","SHARP DEAL AUTO REPAIR, INC.",1.0
"SHEPHERD COMMUNICATIONS, INC.","SHEPHERD COMMUNICATIONS, INC. ET AL",1.0
SILVERLEAF RESORTS INC,SILVERLEAF RESORTS INC,1.0
SILVERLEAF RESORTS INC,"SILVERLEAF RESORTS, INC.",2.0
"SIMPATICO, INC.","SIMPATICO, INC. ET AL",2.0
"SIMPLY WHEELZ, LLC","SIMPLY WHEELZ, LLC",1.0
SINGING RIVER HEALTH SERVICES FOUNDATION,SINGING RIVER HEALTH SERVICES FOUNDATION ET AL,1.0
SIRIUS XM RADIO INC,SIRIUS XM RADIO INC,2.0
SIRIUS XM RADIO INC,SIRIUS XM RADIO INC.,1.0
SIRIUS XM RADIO INC,"SIRIUS XM RADIO, INC.",1.0
SKLAR - MARKIND,SKLAR - MARKIND ET AL,1.0
"SLIDE, INC.","SLIDE, INC. ET AL",1.0
"SMART BALANCE, INC.","SMART BALANCE, INC.",1.0
"SMUGGLER’S ENTERPRISES, INC.","SMUGGLER’S ENTERPRISES, INC. ET AL",1.0
"SOBL, INC.","SOBL, INC.",1.0
"SOLOMONEDWARDSGROUP, LLC","SOLOMONEDWARDSGROUP, LLC",1.0
"SONIC-DENVER T, INC.","SONIC-DENVER T, INC. ET AL",1.0
"SOUTH BAY MOTORS, LLC","SOUTH BAY MOTORS, LLC ET AL",1.0
"SOUTHTRUST BANK, INC.","SOUTHTRUST BANK, INC. ET AL",1.0
"SOUTHWESTERN & PACIFIC SPECIALTY FINANCE, INC.","SOUTHWESTERN & PACIFIC SPECIALTY FINANCE, INC.",3.0
"SOUTHWESTERN & PACIFIC SPECIALTY FINANCE, INC.","SOUTHWESTERN & PACIFIC SPECIALTY FINANCE, INC. ET AL",1.0
SOUTHWESTERN BELL TELEPHONE COMPANY,SOUTHWESTERN BELL TELEPHONE COMPANY,1.0
"SOVEREIGN BANCORP, INC.","SOVEREIGN BANCORP, INC. ET AL",1.0
SPEARMINT RHINO,SPEARMINT RHINO ET AL,1.0
"SPECIALTY’S CAFE AND BAKERY, INC.","SPECIALTY’S CAFE AND BAKERY, INC. ET AL",1.0
"SPON-DIVITS, INC.","SPON-DIVITS, INC. ET AL",1.0
SPORTS & ORTHOPAEDIC SPECIALISTS OF ARIZONA LLC,SPORTS & ORTHOPAEDIC SPECIALISTS OF ARIZONA LLC ET AL,1.0
SPOTIFY USA INC.,SPOTIFY USA INC.,1.0
SPRINT COMMUNICATIONS COMPANY L.P.,SPRINT COMMUNICATIONS COMPANY L.P.,1.0
SPRINT NEXTEL CORPORATION,SPRINT NEXTEL CORPORATION ET AL,6.0
SPRINT SPECTRUM L.P.,SPRINT SPECTRUM L.P.,1.0
"SPRUCE PEAK REALTY, LLC","SPRUCE PEAK REALTY, LLC ET AL",1.0
SSC LAUREL OPERATING COMPANY LLC,SSC LAUREL OPERATING COMPANY LLC ET AL,1.0
STANDARD PACIFIC CORP,STANDARD PACIFIC CORP,1.0
"STARWOOD HOTELS & RESORTS WORLDWIDE, INC.","STARWOOD HOTELS & RESORTS WORLDWIDE, INC. ET AL",1.0
STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,1.0
STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY ET AL,1.0
STEVENS ROOFING SYSTEMS,STEVENS ROOFING SYSTEMS ET AL,1.0
"STOCK DEVELOPMENT ASSOCIATES, INC.","STOCK DEVELOPMENT ASSOCIATES, INC.",1.0
STONEBRIDGE CAS. INS. CO.,STONEBRIDGE CAS. INS. CO.,1.0
"STONELEIGH RECOVERY ASSOCIATES, LLC","STONELEIGH RECOVERY ASSOCIATES, LLC",1.0
"STORED VALUE CARDS, INC.","STORED VALUE CARDS, INC. ET AL",1.0
"STORM PROOF ROOFING, INC.","STORM PROOF ROOFING, INC. ET AL",1.0
"SUBCONTRACTING CONCEPTS, L.L.C.","SUBCONTRACTING CONCEPTS, L.L.C. ET AL",1.0
"SUBWAY 200, INC.","SUBWAY 200, INC.",1.0
"SUMMIT HEALTH AND REHABILITATION, LLC","SUMMIT HEALTH AND REHABILITATION, LLC ET AL",1.0
"SUN HOLDINGS, LLC","SUN HOLDINGS, LLC",1.0
SUNOCO LOGISTICS PARTNERS OPERATIONS GP LLC,SUNOCO LOGISTICS PARTNERS OPERATIONS GP LLC ET AL,1.0
"SUNSHINE CLEANING GROUP, INC.","SUNSHINE CLEANING GROUP, INC. ET AL",1.0
SUNTRUST BANK,SUNTRUST BANK,2.0
SUNTRUST BANK,SUNTRUST BANK ET AL,1.0
SUNTRUST BANK,"SUNTRUST BANKS, INC.",2.0
SUNTRUST BANK,"SUNTRUST BANKS, INC. ET AL",1.0
"SUPER 8 MOTELS, INC","SUPER 8 MOTELS, INC ET AL",1.0
"SUPER NICE STS, INC.","SUPER NICE STS, INC. ET AL",2.0
"SUPERIOR MANAGEMENT GROUP, INC.","SUPERIOR MANAGEMENT GROUP, INC.",1.0
"SUPERSHUTTLE INTERNATIONAL, INC.","SUPERSHUTTLE INTERNATIONAL, INC. ET AL",3.0
"SUPERSHUTTLE INTERNATIONAL, INC.","SUPERSHUTTLE INTERNATIONAL, INC., ET AL",1.0
"SUTTELL & ASSOCIATES, P.S.","SUTTELL & ASSOCIATES, P.S. ET AL",1.0
SW CORPORATION,SW CORPORATION ET AL,1.0
"SWIFT TRANSPORTATION CO., INC.","SWIFT TRANSPORTATION CO., INC. ET AL",1.0
SWIFT TRANSPORTATION COMPANY,SWIFT TRANSPORTATION COMPANY ET AL,1.0
SWISSPORT NORTH AMERICA INC,SWISSPORT NORTH AMERICA INC ET AL,1.0
SYSTEMS & SERVICES TECHNOLOGIES INCORPORATED,SYSTEMS & SERVICES TECHNOLOGIES INCORPORATED,1.0
T-MOBILE,T-MOBILE ET AL,1.0
T-MOBILE USA INC,T-MOBILE USA INC,8.0
T-MOBILE USA INC,"T-MOBILE USA INC, ET AL",1.0
T-MOBILE USA INC,"T-MOBILE USA, INC",1.0
T-MOBILE USA INC,"T-MOBILE USA, INC.",3.0
T-MOBILE USA INC,"T-MOBILE USA, INC. ET AL",3.0
"TACO BELL OF AMERICA, INC.,","TACO BELL OF AMERICA, INC., ET AL",1.0
"TACO CABANA, INC.","TACO CABANA, INC.",1.0
TALK AMERICA INC,TALK AMERICA INC ET AL,1.0
TALK AMERICA INC,"TALK AMERICA, INC.",1.0
"TALKING PHONE BOOK, THE","TALKING PHONE BOOK, THE ET AL",1.0
"TAMKO BUILDING PRODUCTS, INC.","TAMKO BUILDING PRODUCTS, INC. ET AL",1.0
TATA AMERICA INTERNATIONAL CORPORATION,TATA AMERICA INTERNATIONAL CORPORATION ET AL,2.0
TATE & KIRLIN ASSOCIATES,TATE & KIRLIN ASSOCIATES ET AL,1.0
TAXMASTERS,TAXMASTERS ET AL,1.0
